"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"1","00R_AC107638.2",0,0,0,0,0,0,0,0,0,0,0,0,"00R_AC107638.2"
"2","00R_Pgap2",0,0,0,0,0,0,0,0,0,0,0,0,"00R_PGAP2"
"3","0610005C13Rik",0,0,2.8,1.6,0,6.4,0.9,0,3,0,0,1,"0610005C13RIK"
"4","0610006L08Rik",0,1.1,0,0.8,0,0,0,0,0,0,0,1,"0610006L08RIK"
"5","0610007P14Rik",737.7,809.1,862.4,919.5,825.4,946.2,800.9,913.3,787.3,825.4,802.9,775.5,"0610007P14RIK"
"6","0610009B22Rik",127.1,165.1,110.7,95.8,108,119.1,159.4,128.3,142.2,121.9,164.5,156.6,"0610009B22RIK"
"7","0610009E02Rik",20.9,33.9,13.8,29.2,23.1,28.7,42.4,30.8,30.5,29,34.1,33.8,"0610009E02RIK"
"8","0610009L18Rik",38.9,36.1,23.1,22.7,30.3,39.3,48.8,15.9,34.5,38,40.2,25.1,"0610009L18RIK"
"9","0610009O20Rik",874.2,860.5,772,969,897,917.5,893,928.2,851.3,981.2,867.5,839.3,"0610009O20RIK"
"10","0610010F05Rik",534.8,630.9,556.2,396.8,586.3,459.3,582.4,515.3,530.3,474.6,543.4,550.2,"0610010F05RIK"
"11","0610010K14Rik",23.7,16.4,18.4,13.8,10.9,17,23,10.9,21.3,31,24.4,15.5,"0610010K14RIK"
"12","0610012D04Rik",0,1.1,0,2.4,2.4,4.3,0,0,0,5,1.2,0,"0610012D04RIK"
"13","0610012G03Rik",529.1,494.2,392,450.4,485.5,610.2,549.3,364.1,664.4,561.6,763.9,512.5,"0610012G03RIK"
"14","0610025J13Rik",0,0,0,0.8,0,0,0.9,0,0,0,3.7,0,"0610025J13RIK"
"15","0610030E20Rik",615.4,554.4,871.6,652.5,651.8,497.6,586.1,777,625.8,492.6,610.4,577.3,"0610030E20RIK"
"16","0610031O16Rik",0,0,0,0,0,0,0,0,1,0,0,0,"0610031O16RIK"
"17","0610033M10Rik",0,0,0,0,1.2,1.1,0,0,0,4,0,0,"0610033M10RIK"
"18","0610037L13Rik",965.2,1024.5,1273.7,990.1,1011.1,1097.2,1134.5,1259.5,1178.4,1070.2,1254.9,1024,"0610037L13RIK"
"19","0610038B21Rik",1.9,5.5,0.9,0,3.6,5.3,0.9,1,2,2,2.4,5.8,"0610038B21RIK"
"20","0610039K10Rik",3.8,0,0,0,1.2,0,0,3,1,0,2.4,0,"0610039K10RIK"
"21","0610040B10Rik",23.7,37.2,18.4,23.5,23.1,23.4,52.5,39.8,28.4,30,28,23.2,"0610040B10RIK"
"22","0610040F04Rik",47.4,26.2,63.6,18.7,34,42.5,35.9,55.7,44.7,20,37.8,44.5,"0610040F04RIK"
"23","0610040J01Rik",107.1,84.2,110.7,116.1,95.9,86.1,90.3,134.3,90.4,89.9,92.6,66.7,"0610040J01RIK"
"24","0610043K17Rik",18,10.9,26.7,17.9,13.4,20.2,30.4,29.8,18.3,18,39,20.3,"0610043K17RIK"
"25","1010001B22Rik",15.2,14.2,13.8,22.7,3.6,11.7,11.1,15.9,15.2,10,12.2,25.1,"1010001B22RIK"
"26","1010001N08Rik",0,0,0,0.8,0,0,0,0,0,0,0,0,"1010001N08RIK"
"27","1110002E22Rik",47.4,56.9,74.7,47.9,64.3,76.5,88.5,63.7,63,69.9,88.9,38.7,"1110002E22RIK"
"28","1110002J07Rik",10.4,17.5,9.2,13.8,13.4,18.1,15.7,12.9,7.1,8,4.9,8.7,"1110002J07RIK"
"29","1110002L01Rik",339.4,320.4,277.6,258.1,352,284.9,271.9,359.2,279.4,308.8,299.7,355.8,"1110002L01RIK"
"30","1110002O04Rik",0,0,3.7,0,0,2.1,0.9,0,1,0,0,1,"1110002O04RIK"
"31","1110003F10Rik",17.1,17.5,16.6,15.4,29.1,17,22.1,17.9,15.2,27,11,17.4,"1110003F10RIK"
"32","1110004E09Rik",452.3,449.4,473.2,473.1,433.3,488,495.8,544.2,458.2,441.7,525.1,450.6,"1110004E09RIK"
"33","1110004F10Rik",1286.7,1250.9,1285.7,1175.9,1263.6,1263,1407.3,1175,1369.4,1408.9,1310.9,1165.2,"1110004F10RIK"
"34","1110006O24Rik",12.3,8.7,13.8,16.2,4.9,14.9,12.9,5,11.2,6,8.5,6.8,"1110006O24RIK"
"35","1110008E08Rik",4.7,0,0,2.4,4.9,0,3.7,3,2,1,1.2,0,"1110008E08RIK"
"36","1110008F13Rik",455.1,517.2,458.4,441.5,451.5,498.6,447.9,436.8,527.3,524.6,590.9,454.5,"1110008F13RIK"
"37","1110008L16Rik",102.4,127.9,126.4,90.1,128.7,121.2,144.7,152.2,101.6,136.9,125.5,92.8,"1110008L16RIK"
"38","1110008P14Rik",1975.1,1376.6,1306,1742.4,1496.7,1944.5,1231.3,1201.8,2771.4,1662.7,1697.2,1351.8,"1110008P14RIK"
"39","1110012L19Rik",159.3,162.9,119.9,139.6,154.2,131.8,141,112.4,123.9,145.9,155.9,135.4,"1110012L19RIK"
"40","1110015O18Rik",1.9,1.1,12,6.5,1.2,11.7,3.7,2,4.1,3,1.2,1.9,"1110015O18RIK"
"41","1110017D15Rik",66.4,85.3,50.7,95.8,41.3,70.2,62.7,63.7,78.2,73.9,81.6,87,"1110017D15RIK"
"42","1110018N20Rik",120.4,138.9,110.7,116.1,117.7,126.5,123.5,138.3,133.1,102.9,127.9,87,"1110018N20RIK"
